0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:01:52 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 200 236034
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:03:14 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2420
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:03:14 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:04:53 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:05:45 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:05:45 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:08:42 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:09:25 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2437
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:12:29 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:13:59 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:14:00 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:14:26 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:15:20 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:15:20 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:15:20 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:15:20 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:15:20 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:16:14 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:16:38 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:17:16 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1315
